day,hour,minute,demand
0,0,0,10
0,0,15,10
0,0,30,10
0,0,45,10
0,1,0,10
0,1,15,10
0,1,30,10
0,1,45,10
0,2,0,13
0,2,15,13
0,2,30,13
0,2,45,13
0,3,0,14
0,3,15,14
0,3,30,14
0,3,45,14
0,4,0,11
0,4,15,11
0,4,30,11
0,4,45,11
0,5,0,4
0,5,15,4
0,5,30,4
0,5,45,4
0,6,0,6
0,6,15,6
0,6,30,6
0,6,45,6
0,7,0,9
0,7,15,9
0,7,30,9
0,7,45,9
0,8,0,6
0,8,15,6
0,8,30,6
0,8,45,6
0,9,0,3
0,9,15,3
0,9,30,3
0,9,45,3
0,10,0,2
0,10,15,2
0,10,30,2
0,10,45,2
0,11,0,1
0,11,15,1
0,11,30,1
0,11,45,1
0,12,0,0
0,12,15,0
0,12,30,0
0,12,45,0
0,13,0,4
0,13,15,4
0,13,30,4
0,13,45,4
0,14,0,4
0,14,15,4
0,14,30,4
0,14,45,4
0,15,0,6
0,15,15,6
0,15,30,6
0,15,45,6
0,16,0,8
0,16,15,8
0,16,30,8
0,16,45,8
0,17,0,8
0,17,15,8
0,17,30,8
0,17,45,8
0,18,0,6
0,18,15,6
0,18,30,6
0,18,45,6
0,19,0,11
0,19,15,11
0,19,30,11
0,19,45,11
0,20,0,8
0,20,15,8
0,20,30,8
0,20,45,8
0,21,0,12
0,21,15,12
0,21,30,12
0,21,45,12
0,22,0,14
0,22,15,14
0,22,30,14
0,22,45,14
0,23,0,10
0,23,15,10
0,23,30,10
0,23,45,10
